timestamp,decisions_count_15m,decisions_count_60m_rolling,decisions_count_today_so_far,avg_stakes_score,max_stakes_score,irreversible_decisions_today,novel_attendees_ratio,novel_topics_ratio,app_switches_15m,tab_domain_entropy,hour_of_day,minutes_since_wake,day_of_week,minutes_since_last_break,lunch_taken_today,fatigue
2026-04-01 07:00:00,4,4.0,4,0.2969723369893618,0.36766280129319573,2,0.17921743880688518,0.3072077696197985,24,0.3362470954963773,7.0,30.0,2,15,0,33.68539411491956
2026-04-01 07:15:00,1,5.0,5,0.15089426689933477,0.49831163263390177,2,0.5395156741789608,0.1306600319175484,20,0.33993574173257585,7.25,45.0,2,30,0,50.70627751473111
2026-04-01 07:30:00,0,5.0,5,0.3953536941474424,0.1406642297695024,2,0.4549779042954053,0.2622392910016038,17,0.4859700506072453,7.5,60.0,2,45,0,58.1874199365746
2026-04-01 07:45:00,2,7.0,7,0.3520701482900769,0.42941025050024295,2,0.1461312955472723,0.20453931207273113,16,0.6411978151832219,7.75,75.0,2,60,0,60.31980185215332
2026-04-01 08:00:00,1,4.0,8,0.3648103431760136,0.46873987306007603,2,0.06941914413740817,0.3916997093274545,21,0.5024651278425726,8.0,90.0,2,75,0,52.320580106430185
2026-04-01 08:15:00,3,6.0,11,0.4284869629190485,0.2807102385433026,2,0.06379420135306607,0.06405739830080137,19,0.3868829641643255,8.25,105.0,2,0,0,40.01133504545904
2026-04-01 08:30:00,2,8.0,13,0.4041967864872232,0.26121293385558064,2,0.31992857388104756,0.04103263967998772,22,0.8670295765488214,8.5,120.0,2,15,0,65.98669637692934
2026-04-01 08:45:00,2,8.0,15,0.3217772401274097,0.6523657972144008,3,0.5233469228075491,0.29597670025919265,14,0.7817788704874342,8.75,135.0,2,30,0,55.96101527052249
2026-04-01 09:00:00,1,8.0,16,0.40497513117927786,0.33762772688914383,3,0.5651024928483676,0.17484457328444586,21,0.2917404260901193,9.0,150.0,2,45,0,67.625632126725
2026-04-01 09:15:00,3,8.0,19,0.5500984654156941,0.6136705361114748,3,0.1431874048509993,0.25007401849840905,12,0.7577719618276132,9.25,165.0,2,60,0,68.68798197520593
2026-04-01 09:30:00,5,11.0,24,0.4173762649660433,0.06676225418774638,3,0.06509764706819282,0.0681500553662819,15,0.2808430445657485,9.5,180.0,2,75,0,79.18743448673602
